what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400136879528
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400136882238
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400136935978
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400136943658
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400137437031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400137438651
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400137468391
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400137469541
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400137524931
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400137526751
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400137732030
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400137733540
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400138465031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400138478541
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400138488213
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400138493103
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400138494973
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400138496783
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400138602832
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400138603412
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400138713877
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400138718177
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400139748239
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400139751929
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400139772101
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400139773991
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400140139520
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400140160290
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400140160960
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400140298494
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400140324704
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400140325874
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400140380606
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400140382596
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400140426189
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1400140433629
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1400140443169
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1400140443659
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1400140443919
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1400140453259
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1400140458659
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1400140458819
